sample,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,GX_BIAS_LSB,GY_BIAS_LSB,GZ_BIAS_LSB,AX_BIAS_LSB,AY_BIAS_LSB,AZ_BIAS_LSB,ACC_LSB_PER_G,GYRO_LSB_PER_DPS,ACCEL_FS,GYRO_FS,DLPF_CFG
132,0.002640,-0.999250,0.003743,-0.038326,0.055225,-0.042185,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
133,0.001175,-1.000227,0.003987,-0.007792,-0.005844,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
134,0.002884,-1.000227,0.003377,-0.007792,-0.021111,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
135,0.001785,-1.001203,-0.000163,0.022742,-0.005844,-0.042185,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
136,-0.000900,-0.999128,0.002889,0.083811,-0.021111,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
137,0.001175,-1.003157,0.002278,-0.007792,-0.021111,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
138,-0.000290,-0.999617,-0.000285,-0.007792,0.024691,-0.011651,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
139,-0.000290,-0.998274,0.001790,0.007475,0.055225,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
140,0.001907,-0.997663,0.002034,-0.007792,-0.005844,-0.026918,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
141,-0.000656,-1.000837,0.002889,-0.023059,0.024691,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
142,0.001663,-0.999861,-0.001994,-0.007792,0.039958,0.018884,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
143,-0.000168,-0.996809,-0.001628,0.022742,-0.021111,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
144,0.003006,-0.997541,-0.003825,0.022742,-0.036378,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
145,0.001297,-1.001448,0.000081,-0.007792,-0.005844,0.034151,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
146,-0.002854,-1.000959,0.001424,-0.053593,0.024691,0.064685,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
147,-0.003464,-1.001203,-0.001628,0.022742,0.009424,0.003616,-108.490,17.383,-61.237,264.376,-117.142,-983.665,8192.0,65.5,±4g,±500dps,3
